Asset,Type,Total Return,Annual Return,Vol,Sharpe,MDD,Calmar
688_CHIP,1x Underlying,257.76%,55.65%,43.69%,1.23,-36.99%,1.50
688_CHIP,2.0x Sim Daily ETF,566.93%,93.22%,87.37%,1.04,-63.74%,1.46
688_CHIP,3.0x Sim Daily ETF,693.24%,105.21%,131.06%,0.79,-81.65%,1.29
688_CHIP,2.0x Margin Constant,585.70%,95.09%,87.35%,1.07,-63.25%,1.50
688_CHIP,3.0x Margin Constant,672.97%,103.37%,130.99%,0.77,-81.73%,1.26
688_CHIP,2.0x Margin Static,-100.00%,-100.00%,150.70%,-0.68,-100.00%,-1.00
688_CHIP,3.0x Margin Static,-100.00%,-100.00%,305.77%,-0.33,-100.00%,-1.00
QQQ,1x Underlying,100.50%,26.21%,20.30%,1.19,-22.77%,1.15
QQQ,2.0x Sim Daily ETF,202.54%,44.84%,40.60%,1.06,-42.16%,1.06
QQQ,3.0x Sim Daily ETF,315.73%,61.10%,60.91%,0.97,-57.76%,1.06
QQQ,2.0x Margin Constant,207.01%,45.56%,40.60%,1.07,-42.10%,1.08
QQQ,3.0x Margin Constant,310.47%,60.41%,60.90%,0.96,-57.88%,1.04
QQQ,2.0x Margin Static,186.38%,42.21%,34.50%,1.17,-36.09%,1.17
QQQ,3.0x Margin Static,272.10%,55.23%,46.03%,1.16,-44.70%,1.24
QQQ,3x Real ETF (TQQQ),293.87%,58.21%,60.34%,0.93,-58.04%,1.00
SOXX,1x Underlying,252.54%,52.45%,38.42%,1.31,-41.36%,1.27
SOXX,2.0x Sim Daily ETF,579.24%,89.87%,76.83%,1.14,-71.09%,1.26
SOXX,3.0x Sim Daily ETF,756.35%,105.17%,115.25%,0.90,-87.57%,1.20
SOXX,2.0x Margin Constant,580.66%,90.00%,76.83%,1.15,-71.09%,1.27
SOXX,3.0x Margin Constant,713.87%,101.71%,115.25%,0.87,-87.76%,1.16
SOXX,2.0x Margin Static,490.16%,81.14%,64.30%,1.23,-63.27%,1.28
SOXX,3.0x Margin Static,-100.00%,-100.00%,198.19%,-0.51,-100.00%,-1.00
SOXX,3x Real ETF (SOXL),704.78%,100.95%,113.34%,0.87,-87.88%,1.15
MU,1x Underlying,1456.99%,150.62%,61.31%,2.42,-57.63%,2.61
MU,2.0x Sim Daily ETF,6629.98%,309.04%,122.61%,2.50,-87.83%,3.52
MU,3.0x Sim Daily ETF,9191.04%,355.65%,183.92%,1.92,-97.75%,3.64
MU,2.0x Margin Constant,6543.51%,307.27%,122.60%,2.49,-87.88%,3.50
MU,3.0x Margin Constant,8333.39%,341.12%,183.87%,1.84,-97.82%,3.49
MU,2.0x Margin Static,2896.65%,212.01%,84.62%,2.48,-74.43%,2.85
MU,3.0x Margin Static,4333.42%,255.71%,103.24%,2.46,-82.29%,3.11
MU,"2x Real ETF (MUU, 自24-10-10)",2859.84%,605.37%,141.83%,4.25,-75.07%,8.06
SanDisk,1x Underlying,5222.00%,1620.73%,103.04%,15.71,-47.50%,34.12
SanDisk,2.0x Sim Daily ETF,59969.57%,9655.83%,206.08%,46.85,-77.65%,124.36
SanDisk,3.0x Sim Daily ETF,134477.22%,17280.38%,309.12%,55.90,-93.23%,185.36
SanDisk,2.0x Margin Constant,58819.20%,9521.70%,206.03%,46.21,-77.69%,122.56
SanDisk,3.0x Margin Constant,123163.63%,16221.38%,308.97%,52.49,-93.30%,173.86
SanDisk,2.0x Margin Static,10427.01%,2704.06%,136.17%,19.84,-70.09%,38.58
SanDisk,3.0x Margin Static,-100.00%,-100.00%,414.85%,-0.25,-100.00%,-1.00
SanDisk,"2x Real ETF (SNXX, 自25-02-21)",761.40%,11575.93%,217.26%,53.27,-56.01%,206.69
EWY,1x Underlying,206.36%,45.45%,35.27%,1.23,-27.36%,1.66
EWY,2.0x Sim Daily ETF,446.83%,76.58%,70.54%,1.06,-52.30%,1.46
EWY,3.0x Sim Daily ETF,575.44%,89.51%,105.81%,0.83,-72.13%,1.24
EWY,2.0x Margin Constant,449.93%,76.91%,70.53%,1.06,-51.98%,1.48
EWY,3.0x Margin Constant,548.83%,86.98%,105.79%,0.80,-72.48%,1.20
EWY,2.0x Margin Static,397.89%,71.12%,59.69%,1.16,-55.26%,1.29
EWY,3.0x Margin Static,-100.00%,-100.00%,190.79%,-0.53,-100.00%,-1.00
EWY,3x Real ETF (KORU),520.24%,84.18%,103.78%,0.79,-73.35%,1.15
